PassengerId,Ticket,Pclass,Cabin,Embarked,Fare
874,345765,3,,S,9
875,P/PP 3381,2,,C,24
876,2667,3,,C,7.225
877,7534,3,,S,9.8458
878,349212,3,,S,7.8958
879,349217,3,,S,7.8958
880,11767,1,C50,C,83.1583
881,230433,2,,S,26
882,349257,3,,S,7.8958
883,7552,3,,S,10.5167
884,C.A./SOTON 34068,2,,S,10.5
885,SOTON/OQ 392076,3,,S,7.05
886,382652,3,,Q,29.125
887,211536,2,,S,13
888,112053,1,B42,S,30
889,W./C. 6607,3,,S,23.45
890,111369,1,C148,C,30
891,370376,3,,Q,7.75
